District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Satara,2000 - 2001,"89,900.00","52,600.00",0.59,19.098,30.674,23.968,17.234,8.136,4.872,,,
Satara,2001 - 2002,"66,100.00","31,000.00",0.47,19.1,30.41,23.832,17.128,7.076,5.49,,,
Satara,2002 - 2003,"89,900.00","36,600.00",0.41,19.26,32.038,24.296,17.15,7.676,5.178,,,
Satara,2003 - 2004,"23,300.00","6,100.00",0.26,19.43,32.11,24.48,17.39,6.966,5.122,,,
Satara,2004 - 2005,"92,900.00","79,000.00",0.85,19.27,30.09,23.748,17.23,8.934,5.342,,,
Satara,2005 - 2006,"72,500.00","23,500.00",0.32,19.582,30.98,24.172,17.786,11.984,5.41,,,
Satara,2006 - 2007,"84,500.00","24,600.00",0.29,19.862,29.428,23.846,17.68,11.62,5.398,,,
Satara,2007 - 2008,"84,100.00","48,500.00",0.58,19.662,30.7,24.198,17.712,12.638,5.308,,,
Satara,2008 - 2009,"6,400.00","3,300.00",0.52,18.948,30.954,23.886,17.248,8.536,5.24,,,
Satara,2009 - 2010,"74,900.00","36,300.00",0.48,19.578,30.754,24.328,17.548,10.278,5.164,,,
Satara,2010 - 2011,"75,600.00","59,200.00",0.78,19.43,30.736,24.308,18.046,12.334,4.9,,,
Satara,2011 - 2012,"25,700.00","16,400.00",0.64,19.352,29.908,23.98,17.648,11.598,5.492,,,
Satara,2012 - 2013,"16,300.00","7,500.00",0.46,19.118,31.218,24.272,17.254,8.9,5.416,,,
Satara,2013 - 2014,"30,200.00","15,600.00",0.52,19.602,30.328,23.838,17.694,10.268,5.514,,,
Satara,2014 - 2015,"55,000.00","22,100.00",0.4,19.564,33.542,24.768,17.414,8.844,5.188,,,
Satara,2015 - 2016,"74,100.00","26,900.00",0.36,19.818,32.83,24.83,17.362,5.668,4.832,,,
Satara,2016 - 2017,"72,100.00","52,800.00",0.73,18.874,30.478,23.676,17.28,12.374,5.124,,,
Satara,2017 - 2018,"67,400.00","34,100.00",0.51,19.368,30.838,24.342,17.896,10.482,4.734,,,
Satara,2018 - 2019,"51,475.00","26,881.00",0.52,19.03,30.82,24.098,17.25,9.396,5.166,,,
Satara,2019 - 2020,"57,299.00","29,615.00",0.52,20.378,31.518,24.612,18.198,15.708,5.146,,,
Satara,2020 - 2021,"64,829.00","57,498.38",0.89,20.016,29.736,24.26,18.368,13.8,4.634,,,
Satara,2021 - 2022,"50,559.00","47,375.23",0.94,19.604,29.608,24.048,17.986,11.728,4.674,,,
Satara,2022 - 2023,"45,453.00","30,513.00",0.67,19.078,30.75,23.964,17.552,11.122,4.852,,,
Solapur,1999 - 2000,"57,200.00","19,300.00",0.34,19.516,35.516,26.12,0,0,0,,,
Solapur,2000 - 2001,"53,300.00","22,100.00",0.41,19.486,34.158,25.69,0,0,0,,,
Solapur,2001 - 2002,"11,800.00","5,400.00",0.46,19.546,34.904,26.042,0,0,0,,,
Solapur,2002 - 2003,"25,100.00","9,500.00",0.38,20.044,35.93,26.63,0,0,0,,,
Solapur,2003 - 2004,"9,700.00","3,700.00",0.38,19.97,36.922,27.018,0,0,0,,,
Solapur,2004 - 2005,"26,200.00","15,000.00",0.57,19.52,33.802,25.744,0,0,0,,,
Solapur,2005 - 2006,"14,800.00","6,700.00",0.45,20.21,33.408,25.632,0,0,0,,,
Solapur,2006 - 2007,"27,500.00","7,700.00",0.28,20.336,33.97,25.848,0,0,0,,,
Solapur,2007 - 2008,"21,500.00","9,100.00",0.42,19.9,33.732,25.614,0,0,0,,,
Solapur,2008 - 2009,"1,800.00",800,0.44,19.388,34.502,25.932,0,0,0,,,
Solapur,2009 - 2010,"14,400.00","5,200.00",0.36,19.974,34.818,26.2,0,0,0,,,
Solapur,2010 - 2011,"18,400.00","9,600.00",0.52,19.614,34.256,26.048,0,0,0,,,
Solapur,2011 - 2012,"9,900.00","3,900.00",0.39,20.234,35.014,26.344,0,0,0,,,
Solapur,2012 - 2013,"6,300.00",200,0.03,20.12,35.976,26.67,0,0,0,,,
Solapur,2013 - 2014,"6,300.00","2,200.00",0.35,19.822,33.694,25.706,0,0,0,,,
Solapur,2014 - 2015,"5,500.00","2,200.00",0.4,19.804,36.068,26.868,0,0,0,,,
Solapur,2015 - 2016,"14,800.00","3,400.00",0.23,20.408,36.414,27.242,0,0,0,,,
Solapur,2016 - 2017,"26,900.00","9,400.00",0.35,19.506,34.428,25.586,0,0,0,,,
Solapur,2017 - 2018,"28,600.00","9,740.00",0.34,19.818,35.062,26.302,0,0,0,,,
Solapur,2018 - 2019,"23,793.00","3,203.00",0.13,19.53,35.418,26.424,0,0,0,,,
Solapur,2019 - 2020,"49,811.00","11,528.00",0.23,21.208,35.298,26.57,0,0,0,,,
Solapur,2020 - 2021,"55,313.76","27,225.22",0.49,20.328,33.036,25.706,0,0,0,,,
Solapur,2021 - 2022,"57,132.06","23,218.19",0.41,19.484,33.57,25.812,0,0,0,,,
Solapur,2022 - 2023,"49,448.00","20,712.00",0.42,19.414,33.356,25.574,0,0,0,,,
Wardha,1999 - 2000,100,100,1,20.264,34.168,26.32,17.378,5.44,3.862,,,
Washim,1999 - 2000,"2,700.00","1,400.00",0.52,20.332,34.222,26.214,0,0,0,,,
Washim,2000 - 2001,"2,500.00","1,500.00",0.6,20.402,34.118,26.628,0,0,0,,,
Washim,2001 - 2002,"2,300.00",800,0.35,20.208,34.796,26.394,0,0,0,,,
Washim,2002 - 2003,"2,400.00","1,500.00",0.63,20.38,34.936,26.88,0,0,0,,,
Washim,2003 - 2004,"2,000.00",900,0.45,20.428,34.222,26.61,0,0,0,,,
Washim,2004 - 2005,"1,600.00",700,0.44,20.558,35.06,26.882,0,0,0,,,
Washim,2005 - 2006,"1,400.00",700,0.5,20.474,34.466,26.798,0,0,0,,,
Washim,2006 - 2007,"1,600.00",900,0.56,20.83,33.866,26.528,0,0,0,,,
Washim,2007 - 2008,900,500,0.56,20.322,33.85,26.266,0,0,0,,,
Washim,2008 - 2009,400,200,0.5,19.93,34.362,26.306,0,0,0,,,
Washim,2009 - 2010,400,300,0.75,20.796,34.97,27.3,0,0,0,,,
Washim,2010 - 2011,500,200,0.4,20.416,33.744,26.704,0,0,0,,,
Washim,2011 - 2012,300,200,0.67,20.978,34.494,26.708,0,0,0,,,
Washim,2012 - 2013,300,200,0.67,20.498,34.54,26.546,0,0,0,,,
Washim,2013 - 2014,400,300,0.75,20.512,32.522,25.734,0,0,0,,,
Washim,2014 - 2015,200,,0,20.94,36.87,27.818,0,0,0,,,
Washim,2015 - 2016,300,0,0,21.27,36.488,27.906,0,0,0,,,
Washim,2016 - 2017,300,100,0.33,20.378,34.09,26.454,0,0,0,,,
Washim,2017 - 2018,200,100,0.5,20.874,35.064,27.158,0,0,0,,,
Washim,2018 - 2019,325,48,0.15,20.462,34.872,26.622,0,0,0,,,
Washim,2019 - 2020,361,82,0.23,21.86,34.868,27.536,0,0,0,,,
Washim,2020 - 2021,164.48,77.65,0.47,21.086,33.206,26.592,0,0,0,,,
Washim,2021 - 2022,2,0.72,0.36,20.47,32.94,26.236,0,0,0,,,
Yavatmal,1999 - 2000,"8,600.00","4,400.00",0.51,20.854,34.57,26.722,0,0,0,,,
Yavatmal,2000 - 2001,"9,200.00","5,800.00",0.63,20.93,34.632,27.086,0,0,0,,,
Yavatmal,2001 - 2002,"7,400.00","2,700.00",0.36,20.842,35.45,27.034,0,0,0,,,
