District,Year ,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Gadchiroli,2017 - 2018,"1,48,500.00","1,81,800.00",1.22,16.232,33.322,24.048,0,0,0
Gadchiroli,2018 - 2019,"1,50,119.00","2,69,686.00",1.8,15.804,33.944,24.31,0,0,0
Gadchiroli,2019 - 2020,"1,71,267.00","2,91,081.00",1.7,17.18,33.082,24.632,0,0,0
Gadchiroli,2020 - 2021,"1,71,321.16","2,73,230.69",1.59,16.114,32.194,23.922,0,0,0
Gadchiroli,2021 - 2022,"1,75,277.08","2,66,085.07",1.52,16.048,32.602,24.06,0,0,0
Gadchiroli,2022 - 2023,"1,78,684.75","3,21,665.03",1.8,15.912,33.41,24.214,0,0,0
Gondia,1999 - 2000,"15,000.00","9,000.00",0.6,15.164,33.158,23.57,0,0,0
Gondia,2000 - 2001,"1,81,800.00","1,56,100.00",0.86,15.906,34.366,24.662,0,0,0
Gondia,2001 - 2002,"1,77,800.00","2,31,400.00",1.3,15.298,32.666,23.428,0,0,0
Gondia,2002 - 2003,"1,68,400.00","1,64,200.00",0.98,16.746,34.92,25.226,0,0,0
Gondia,2003 - 2004,"1,70,000.00","2,55,000.00",1.5,16.384,33.476,24.168,0,0,0
Gondia,2004 - 2005,"1,62,500.00","97,600.00",0.6,16.012,33.844,24.038,0,0,0
Gondia,2005 - 2006,"1,77,800.00","2,71,200.00",1.53,15.292,32.984,23.888,0,0,0
Gondia,2006 - 2007,"1,87,000.00","2,09,200.00",1.12,17.386,32.926,24.704,0,0,0
Gondia,2007 - 2008,"1,92,500.00","3,19,000.00",1.66,15.886,33.43,23.83,0,0,0
Gondia,2008 - 2009,"1,85,100.00","1,30,900.00",0.71,15.87,33.528,23.92,0,0,0
Gondia,2009 - 2010,"1,81,900.00","1,97,500.00",1.09,16.118,33.564,24.908,0,0,0
Gondia,2010 - 2011,"1,78,200.00","3,06,000.00",1.72,16.69,33.1,24.876,0,0,0
Gondia,2011 - 2012,"1,72,800.00","2,94,800.00",1.71,16.338,33.658,24.116,0,0,0
Gondia,2012 - 2013,"1,77,500.00","3,34,600.00",1.89,14.936,34.062,24.132,0,0,0
Gondia,2013 - 2014,"1,88,100.00","2,92,500.00",1.56,16.176,31.814,23.278,0,0,0
